lab,max_t,num_obs,md
growth-rate,27.0,10,3.6323450181542016
beta,27.5,10,1.3410862896643612
rep-number,27.5,10,2.388108338741695
growth-rate,27.5,10,3.628156191535208
beta,28.0,10,1.3454274904896995
rep-number,28.0,10,2.3963128553445543
growth-rate,28.0,10,3.6237713012855943
beta,28.5,10,1.3489267657561292
rep-number,28.5,10,2.40346876011984
growth-rate,28.5,10,3.6191285996006703
beta,29.0,10,1.3515936820084908
rep-number,29.0,10,2.4096006749288366
growth-rate,29.0,10,3.6141654854731833
beta,29.5,10,1.353446400809704
rep-number,29.5,10,2.414739171269259
growth-rate,29.5,10,3.608828376576475
beta,30.0,10,1.3545113669359812
rep-number,30.0,10,2.418921155928505
growth-rate,30.0,10,3.6030727329097942
beta,30.5,10,1.3548258130356152
rep-number,30.5,10,2.4221932961564887
growth-rate,30.5,10,3.596864339889484
beta,31.0,10,1.3544406561731068
rep-number,31.0,10,2.4246145810461996
growth-rate,31.0,10,3.5901835316169324
beta,31.5,10,1.3534185991532262
rep-number,31.5,10,2.426255133102928
growth-rate,31.5,10,3.583026466269871
beta,32.0,10,1.3518327636407128
rep-number,32.0,10,2.4271945296270188
growth-rate,32.0,10,3.5754062280248355
beta,32.5,10,1.3497681289939347
rep-number,32.5,10,2.427523229962808
growth-rate,32.5,10,3.5673543079054686
beta,33.0,10,1.3473146366567157
rep-number,33.0,10,2.427334549534115
growth-rate,33.0,10,3.5589181140639385
beta,33.5,10,1.3445627833098892
rep-number,33.5,10,2.4267202492500104
growth-rate,33.5,10,3.550159205533354
beta,34.0,10,1.341604705403078
rep-number,34.0,10,2.4257734600519614
growth-rate,34.0,10,3.5411533699077458
beta,34.5,10,1.3385374885694792
rep-number,34.5,10,2.424591679919032
growth-rate,34.5,10,3.5319903930267587
beta,35.0,10,1.3354575551414207
rep-number,35.0,10,2.423271975743997
growth-rate,35.0,10,3.522771139098458
beta,35.5,10,1.3324587170039104
rep-number,35.5,10,2.4219092687884407
growth-rate,35.5,10,3.5136031750513212
beta,36.0,10,1.3296298118635272
rep-number,36.0,10,2.420594321805118
growth-rate,36.0,10,3.5045979054168104
beta,36.5,10,1.3270538712267599
rep-number,36.5,10,2.419412573559989
growth-rate,36.5,10,3.4958691403777165
beta,37.0,10,1.3248038238997464
rep-number,37.0,10,2.4184398147639214
growth-rate,37.0,10,3.4875287920659734
beta,37.5,10,1.3229370784874743
rep-number,37.5,10,2.417735968644677
growth-rate,37.5,10,3.4796820939170905
beta,38.0,10,1.3214938465321557
rep-number,38.0,10,2.41734298293282
growth-rate,38.0,10,3.4724244325860405
beta,38.5,10,1.3205009758530708
rep-number,38.5,10,2.417290003975313
growth-rate,38.5,10,3.465839425710338
beta,39.0,10,1.3199712117968163
rep-number,39.0,10,2.4175928784688447
growth-rate,39.0,10,3.4599983042159024
beta,39.5,10,1.3199035048090186
rep-number,39.5,10,2.4182547377778647
growth-rate,39.5,10,3.454958832822167
beta,40.0,10,1.3202823986336139
rep-number,40.0,10,2.419265498286042
growth-rate,40.0,10,3.4507630739260824
beta,40.5,10,1.321078108585037
rep-number,40.5,10,2.4206016892230524
growth-rate,40.5,10,3.4474364022108266
beta,41.0,10,1.3222484379946535
rep-number,41.0,10,2.422228357395102
growth-rate,41.0,10,3.444987815542386
